stationCode,stationName,stationEName,name,ename,stationAddrTw,stationAddrEn,stationTel,gps,haveBike
4150,隆田,Longtian,隆田,Longtian,臺南市官田區隆田里中山路一段 1 號,"No. 1, Sec. 1, Zhongshan Rd., Guantian Dist., Tainan City",06-5791664,23.19271 120.31917,Y
4160,拔林,Balin,拔林,Balin,臺南市官田區拔林里拔子林 83 之 1 號,"No. 83-1, Bazilin, Guantian Dist., Tainan City",06-5791664,23.17287 120.32117,N
4170,善化,Shanhua,善化,Shanhua,臺南市善化區光文里中山路 1 號,"No. 1, Zhongshan Rd., Shanhua Dist., Tainan City",06-5837301,23.13333 120.30653,Y
4180,南科,Nanke,南科,Nanke,臺南市新市區大營里大營 287-300 號,"No. 287-300, Daying, Xinshi Dist., Tainan City",06-5896356,23.10727 120.30192,N
4190,新市,Xinshi,新市,Xinshi,臺南市新市區新和里中華路 1 號,"No. 1, Zhonghua Rd., Xinshi Dist., Tainan City",06-5996911,23.06823 120.29004,Y
4200,永康,Yongkang,永康,Yongkang,臺南市永康區埔園里中山路 459 號,"No. 459, Zhongshan Rd., Yongkang Dist., Tainan City",06-2323305,23.03825 120.25347,Y
4210,大橋,Daqiao,大橋,Daqiao,臺南市永康區西橋里中華路 835 號,"No. 835, Zhonghua Rd., Yongkang Dist., Tainan City",06-3021755,23.01923 120.22429,N
4220,臺南,Tainan,臺南,Tainan,臺南市東區成大里北門路二段4號,"No. 4, Sec. 2, Beimen Rd., East Dist., Tainan City",06-2261314,22.99719 120.21249,Y
4250,保安,Bao'an,保安,Bao'an,臺南市仁德區保安里文賢路一段 529 巷 10 號,"No. 10, Ln. 529, Sec. 1, Wenxian Rd., Rende Dist., Tainan City",06-2665988,22.93296 120.23158,Y
4260,仁德,Rende,仁德,Rende,臺南市仁德區保安里永德路 10 號,"No. 10, Yongde Rd., Rende Dist., Tainan City",06-2669383,22.92354 120.24054,N
4270,中洲,Zhongzhou,中洲,Zhongzhou,臺南市仁德區中洲五街236號,"No. 236, Zhongzhou 5th St., Rende Dist., Tainan City",06-2667191,22.90446 120.25284,Y
4271,長榮大學,Chang Jung Christian University,長榮大學,Chang Jung Christian University,臺南市歸仁區大潭里長大路15 號,"No. 15, Changda Rd., Guiren Dist., Tainan City",06-2782615,22.90729 120.27263,N
4272,沙崙,Shalun,沙崙,Shalun,臺南市歸仁區沙崙里歸仁大道 102 號,"No. 102, Guiren Blvd., Guiren Dist., Tainan City",06-3032686,22.92407 120.28622,N
4290,大湖,Dahu,大湖,Dahu,高雄市路竹區甲南里天祐路 24 號,"No. 24, Tianyou Rd., Luzhu Dist., Kaohsiung City",07-6932127,22.87821 120.25384,Y
4300,路竹,Luzhu,路竹,Luzhu,高雄市路竹區竹南里中正路 288 號,"No. 288, Zhongzheng Rd., Luzhu Dist., Kaohsiung City",07-6072723,22.85404 120.26619,Y
4310,岡山,Gangshan,岡山,Gangshan,高雄市岡山區碧紅里岡燕路 111 號,"No. 111, Gangyan Rd., Gangshan Dist., Kaohsiung City",07-6212074,22.79224 120.29997,Y
4320,橋頭,Qiaotou,橋頭,Qiaotou,高雄市橋頭區橋頭里站前街 14 號,"No. 14, Zhanqian St., Qiaotou Dist., Kaohsiung City",07-6115424,22.76098 120.31011,Y
4330,楠梓,Nanzi,楠梓,Nanzi,高雄市楠梓區惠楠里建楠路 229 號,"No. 229, Jiannan Rd., Nanzi Dist., Kaohsiung City",07-3510175,22.72696 120.32425,Y
4340,新左營,Xinzuoying,新左營,Xinzuoying,高雄市左營區尾北里站前北路 1 號,"No. 1, Zhanqian N. Rd., Zuoying Dist., Kaohsiung City",07-5887825,22.68754 120.30678,Y
4350,左營,Zuoying,左營,Zuoying,高雄市左營區翠華路1050號地下1層,"B1F., No. 1050, Cuihua Rd, Zuoying Dist., Kaohsiung City",07-5887835,22.67445 120.29401,Y
4360,內惟,Neiwei,內惟,Neiwei,高雄市鼓山區翠華路500號地下1層,"B1F., No. 500, Cuihua Rd., Gushan Dist., Kaohsiung City",07-5886119,22.66589 120.287,Y
4370,美術館,Museum of Fine Arts,美術館,Museum of Fine Arts,高雄市鼓山區翠華路246號,"No.246, Cuihua Rd., Gushan Dist., Kaohsiung City",07-5215147,22.65185 120.28148,Y
4380,鼓山,Gushan,鼓山,Gushan,高雄市鼓山區鐵路街20巷6號,"No.6, Ln. 20, Railway St., Gushan Dist., Kaohsiung City",07-5217014,22.64181 120.28071,N
4390,三塊厝,Sankuaicuo,三塊厝,Sankuaicuo,高雄市三民區德北里6鄰康平街1號,"No.1, Kangping St., Sanmin Dist., Kaohsiung City",07-2856234,22.63931 120.29414,Y
4400,高雄,Kaohsiung,高雄,Kaohsiung,高雄市三民區港西里建國二路 318 號,"No. 318, Jianguo 2nd Rd., Sanmin Dist., Kaohsiung City",07-2352376,22.63946 120.30292,Y
